dog_count,primary_breed,address
3,Labrador Retriever,"Grand Rapids, MI 49505"
3,Labrador Retriever,"Macomb, MI 48042"
3,Labrador Retriever,"New Baltimore, MI 48047"
3,Labrador Retriever,"Plymouth, MI 48170"
3,Labrador Retriever,"Traverse City, MI 49684"
3,Labrador Retriever,"White Lake, MI 48386"
3,Miniature Pinscher,"Muskegon, MI 49442"
3,Mixed Breed,"18400 220th Avenue , Big Rapids, MI 49307"
3,Mixed Breed,"4371 E. Ashman , Midland, MI 48641"
3,Mixed Breed,"Deerfield, MI 49238"
3,Mixed Breed,"Traverse City, MI 49696"
3,Pit Bull Terrier,"21417 Dunham Road , Clinton Township, MI 48036"
3,Pit Bull Terrier,"305 N.Meyers Road , Ludington, MI 49431"
3,Pit Bull Terrier,"35 Campbell Rd. 65 N. Elk St., Sandusky, MI 48471"
3,Pit Bull Terrier,"4038 Hazel Drive , Harrison, MI 48625"
3,Pit Bull Terrier,"5310 W. Houghton Lake Rd (M-55) P.O. Box D, Lake City, MI 49651"
3,Pit Bull Terrier,"6955 West KL Ave Pet Rescue & Adoption Center, Kalamazoo, MI 49009"
3,Pit Bull Terrier,"8935 Thompson Rd. , Lake Odessa, MI 48849"
3,Pit Bull Terrier,"Manistee, MI 49660"
3,Pit Bull Terrier,"Marine City, MI 48039"
3,Pit Bull Terrier,"Metamora, MI 48455"
3,Pit Bull Terrier,"fennville, MI 49408"
3,Poodle,"Livonia, MI 48152"
3,Siberian Husky,"740 Fuller Ave. NE , Grand Rapids, MI 49503"
3,Spaniel,"3279 E Laketon Ave , Muskegon, MI 49442"
3,Terrier,"219 Peekstock Drive , Kalamazoo, MI 49001"
3,Terrier,"3279 E Laketon Ave , Muskegon, MI 49442"
3,Terrier,"Clinton Township, MI 48036"
3,Terrier,"Pontiac, MI 48341"
2,Akita,"Warren, MI 48089"
2,American Bulldog,"1105 S. Isabella Road , Mount Pleasant, MI 48858"
2,American Bulldog,"1170 GROVE STREET , Wyandotte, MI 48192"
2,American Bulldog,"1200 N. Telegraph Building 42 East, Pontiac, MI 48341"
2,American Bulldog,"323 M-62 North PO Box 132, Cassopolis, MI 49031"
2,American Bulldog,"Livonia, MI 48152"
2,American Bulldog,"P.O. Box 190121 , Burton, MI 48519"
2,American Bulldog,"Warren, MI 48089"
2,American Staffordshire Terrier,"Allen Park, MI 48101"
2,American Staffordshire Terrier,"Eastpointe, MI 48021"
2,American Staffordshire Terrier,"Ferndale, MI 48220"
2,American Staffordshire Terrier,"Livonia, MI 48152"
2,American Staffordshire Terrier,"Mancelona, MI 49659"
2,American Staffordshire Terrier,"P.O. Box 384 5786 Fairground Lane, Grayling, MI 49738"
2,American Staffordshire Terrier,"Saginaw, MI 48603"
2,American Staffordshire Terrier,"Troy, MI 48083"
2,American Staffordshire Terrier,"Warren, MI 48089"
2,Australian Shepherd,"3279 E Laketon Ave , Muskegon, MI 49442"
2,Beagle,"Oxford, MI 48371"
2,Belgian Shepherd / Tervuren,"Imlay City, MI 48444"
2,Black Labrador Retriever,"3279 E Laketon Ave , Muskegon, MI 49442"
2,Black Labrador Retriever,"969 Wildwood Rd , Quincy, MI 49082"
2,Black Labrador Retriever,"Macomb, MI 48042"
2,Border Collie,"8935 Thompson Rd. , Lake Odessa, MI 48849"
2,Border Collie,"Birmingham, MI 48012"
2,Border Collie,"Linden, MI 48451"
2,Boxer,"07591 Blue Star Hwy , South Haven, MI 49090"
2,Boxer,"1105 S. Isabella Road , Mount Pleasant, MI 48858"
2,Boxer,"1170 GROVE STREET , Wyandotte, MI 48192"
2,Boxer,"1200 N. Telegraph Building 42 East, Pontiac, MI 48341"
2,Boxer,"21417 Dunham Road , Clinton Township, MI 48036"
2,Boxer,"2752 W. Bennington Road , Owosso, MI 48867"
2,Boxer,"Sanford, MI 48657"
2,Boxer,"Traverse City, MI 49696"
2,Boxer,"White Lake, MI 48386"
2,Bullmastiff,"Almont, MI 48003"
2,Catahoula Leopard Dog,"8935 Thompson Rd. , Lake Odessa, MI 48849"
2,Catahoula Leopard Dog,"Metamora, MI 48455"
2,Chihuahua,"27796 John R , Madison Heights, MI 48071"
2,Chihuahua,"Detroit, MI 48202"
2,Chihuahua,"Grosse Pointe Park, MI 48230"
2,Chihuahua,"Harrison, MI 48625"
2,Chihuahua,"P.O. Box 29 , Armada, MI 48005"
2,Chocolate Labrador Retriever,"3279 E Laketon Ave , Muskegon, MI 49442"
2,Chocolate Labrador Retriever,"Macomb, MI 48042"
2,Chocolate Labrador Retriever,"Metamora, MI 48455"
2,Corgi,"219 Peekstock Drive , Kalamazoo, MI 49001"
2,Doberman Pinscher,"Detroit, MI 48216"
2,Feist,"PO Box 180155 , Utica, MI 48318"
2,German Shepherd Dog,"1515 Carmen Drive , Jackson, MI 49202"
2,German Shepherd Dog,"3279 E Laketon Ave , Muskegon, MI 49442"
2,German Shepherd Dog,"740 Fuller Ave. NE , Grand Rapids, MI 49503"
2,German Shepherd Dog,"Birmingham, MI 48012"
2,German Shepherd Dog,"Detroit, MI 48202"
2,German Shepherd Dog,"Gladwin, MI 48624"
2,German Shepherd Dog,"Grand Rapids, MI 49548"
2,German Shepherd Dog,"Macomb, MI 48042"
2,German Shepherd Dog,"Manistee, MI 49660"
2,German Shepherd Dog,"Reed City, MI 49677"
2,German Shepherd Dog,"White Lake, MI 48386"
2,Greyhound,"3384 9th St. , Monroe, MI 48162"
2,Havanese,"Detroit, MI 48221"
2,Hound,"2266 N Lapeer Road , Lapeer, MI 48446"
2,Hound,"Metamora, MI 48455"
2,Husky,"18400 220th Avenue , Big Rapids, MI 49307"
2,Husky,"5205 Airline Rd , Muskegon, MI 49443"
2,Jack Russell Terrier,"Warren, MI 48089"
2,Labrador Retriever,"1300 West Conway Road , Harbor Springs, MI 49740"
2,Labrador Retriever,"2640 Marquette  Avenue , Muskegon, MI 49442"
2,Labrador Retriever,"5205 Airline Rd , Muskegon, MI 49443"
2,Labrador Retriever,"740 Fuller Ave. NE , Grand Rapids, MI 49503"
2,Labrador Retriever,"Coldwater, MI 49036"
2,Labrador Retriever,"Gladwin, MI 48624"
2,Labrador Retriever,"Grand Rapids, MI 49548"
2,Labrador Retriever,"P.O. Box 29 , Armada, MI 48005"
2,Labrador Retriever,"PO Box 180155 , Utica, MI 48318"
2,Labrador Retriever,"Saginaw, MI 48602"
2,Labrador Retriever,"Warren, MI 48089"
2,Mastiff,"G-4351 W Pasadena Avenue , Flint, MI 48504"
2,Mastiff,"Saginaw, MI 48602"
2,McNab,"1515 Carmen Drive , Jackson, MI 49202"
2,Mixed Breed,"1300 West Conway Road , Harbor Springs, MI 49740"
2,Mixed Breed,"2120 Metamora Road , Oxford, MI 48371"
2,Mixed Breed,"Grand Rapids, MI 49505"
2,Mixed Breed,"l536 Hackleburg Road , Cheboygan, MI 49721"
2,Pit Bull Terrier,"1105 S. Isabella Road , Mount Pleasant, MI 48858"
2,Pit Bull Terrier,"1367 S. M-33 , West Branch, MI 48661"
2,Pit Bull Terrier,"219 Peekstock Drive , Kalamazoo, MI 49001"
2,Pit Bull Terrier,"3365 Freeland Road , Saginaw, MI 48604"
2,Pit Bull Terrier,"3378 Griswold Road , Port Huron, MI 48060"
2,Pit Bull Terrier,"418 S. Highlander Way , Howell, MI 48843"
2,Pit Bull Terrier,"600 Buhl St , Mason, MI 48854"
2,Pit Bull Terrier,"6266 Lapeer Road , Clyde, MI 48049"
2,Pit Bull Terrier,"Battle Creek, MI 49016"
2,Pit Bull Terrier,"Kentwood, MI 49548"
2,Pit Bull Terrier,"Livonia, MI 48152"
2,Pit Bull Terrier,"P.O. Box 190121 , Burton, MI 48519"
2,Pit Bull Terrier,"PO Box 1953 , Traverse City, MI 49685"
2,Pit Bull Terrier,"PO Box 285 , Frankenmuth, MI 48734"
2,Pit Bull Terrier,"PO Box 3295 2938 Business One Drive, Kalamazoo, MI 49003"
2,Pit Bull Terrier,"Plymouth, MI 48170"
2,Pit Bull Terrier,"Sterling Heights, MI 48313"
2,Pit Bull Terrier,"Traverse City, MI 49684"
2,Pit Bull Terrier,"West Bloomfield, MI 48325"
2,Plott Hound,"502 N. SAVIDGE , Reed City, MI 49677"
2,Pomeranian,"Warren, MI 48091"
2,Pug,"Muskegon, MI 49442"
2,Rat Terrier,"3279 E Laketon Ave , Muskegon, MI 49442"
2,Retriever,"Birmingham, MI 48012"
2,Rottweiler,"Milan, MI 48160"
2,Shepherd,"1200 N. Telegraph Building 42 East, Pontiac, MI 48341"
2,Shepherd,"1515 Carmen Drive , Jackson, MI 49202"
2,Shepherd,"2640 Marquette  Avenue , Muskegon, MI 49442"
2,Shepherd,"Birmingham, MI 48012"
2,Shepherd,"Clinton Township, MI 48036"
2,Shepherd,"Deerfield, MI 49238"
2,Shepherd,"Livonia, MI 48152"
2,Shepherd,"Oxford, MI 48371"
2,Siberian Husky,"1316 Lamont Ave , Kalamazoo, MI 49001"
2,Siberian Husky,"Boon, MI 49618"
2,Siberian Husky,"Gladwin, MI 48624"
2,Siberian Husky,"Oakland, MI 48363"
2,Spitz,"185 Panther Dr , Holland, MI 49424"
2,Staffordshire Bull Terrier,"418 S. Highlander Way , Howell, MI 48843"
2,Staffordshire Bull Terrier,"Saginaw, MI 48602"
2,Standard Poodle,"Harrison, MI 48625"
2,Terrier,"1105 S. Isabella Road , Mount Pleasant, MI 48858"
2,Terrier,"2266 N Lapeer Road , Lapeer, MI 48446"
2,Terrier,"East Lansing, MI 48823"
2,Terrier,"Grosse Pointe Park, MI 48230"
2,Terrier,"Livonia, MI 48152"
2,Terrier,"P.O. Box 190121 , Burton, MI 48519"
2,Terrier,"P.O. Box 384 5786 Fairground Lane, Grayling, MI 49738"
2,Terrier,"West Bloomfield, MI 48325"
2,Wheaten Terrier,"Muskegon, MI 49442"
2,White German Shepherd,"Kalamazoo, MI 49009"
2,Yellow Labrador Retriever,"3279 E Laketon Ave , Muskegon, MI 49442"
2,Yorkshire Terrier,"Oakland, MI 48363"
1,Airedale Terrier,"5205 Airline Rd , Muskegon, MI 49443"
1,Akita,"1200 N. Telegraph Building 42 East, Pontiac, MI 48341"
1,Akita,"2120 Metamora Road , Oxford, MI 48371"
1,Akita,"8935 Thompson Rd. , Lake Odessa, MI 48849"
1,Akita,"Belleville, MI 48111"
1,Akita,"Detroit, MI 48202"
1,Akita,"Kingsley, MI 49649"
1,Akita,"Saginaw, MI 48602"
1,Alaskan Malamute,"3279 E Laketon Ave , Muskegon, MI 49442"
1,American Bulldog,"1515 Carmen Drive , Jackson, MI 49202"
1,American Bulldog,"2120 Metamora Road , Oxford, MI 48371"
1,American Bulldog,"21417 Dunham Road , Clinton Township, MI 48036"
1,American Bulldog,"2640 Marquette  Avenue , Muskegon, MI 49442"
1,American Bulldog,"3100 Cherry Hill Road , Ann Arbor, MI 48105"
1,American Bulldog,"3365 Freeland Road , Saginaw, MI 48604"
1,American Bulldog,"3378 Griswold Road , Port Huron, MI 48060"
1,American Bulldog,"35 Campbell Rd. 65 N. Elk St., Sandusky, MI 48471"
1,American Bulldog,"51299 Arkona Rd. , Belleville, MI 48111"
1,American Bulldog,"8935 Thompson Rd. , Lake Odessa, MI 48849"
1,American Bulldog,"969 Wildwood Rd , Quincy, MI 49082"
1,American Bulldog,"Clinton Township, MI 48036"
1,American Bulldog,"Detroit, MI 48219"
1,American Bulldog,"Eastpointe, MI 48021"
1,American Bulldog,"Holly, MI 48442"
