Address,Most Popular Breed,Number of Dogs
"740 Fuller Ave. NE , Grand Rapids, MI 49503",Labrador Retriever,2
"8935 Thompson Rd. , Lake Odessa, MI 48849",Border Collie,2
"8935 Thompson Rd. , Lake Odessa, MI 48849",Catahoula Leopard Dog,2
"969 Wildwood Rd , Quincy, MI 49082",Black Labrador Retriever,2
"Allen Park, MI 48101",American Staffordshire Terrier,2
"Almont, MI 48003",Bullmastiff,2
"Battle Creek, MI 49016",Pit Bull Terrier,2
"Birmingham, MI 48012",Border Collie,2
"Birmingham, MI 48012",German Shepherd Dog,2
"Birmingham, MI 48012",Retriever,2
"Birmingham, MI 48012",Shepherd,2
"Boon, MI 49618",Siberian Husky,2
"Clinton Township, MI 48036",Shepherd,2
"Coldwater, MI 49036",Labrador Retriever,2
"Deerfield, MI 49238",Shepherd,2
"Detroit, MI 48202",Chihuahua,2
"Detroit, MI 48202",German Shepherd Dog,2
"Detroit, MI 48216",Doberman Pinscher,2
"Detroit, MI 48221",Havanese,2
"East Lansing, MI 48823",Terrier,2
"Eastpointe, MI 48021",American Staffordshire Terrier,2
"Ferndale, MI 48220",American Staffordshire Terrier,2
"G-4351 W Pasadena Avenue , Flint, MI 48504",Mastiff,2
"Gladwin, MI 48624",German Shepherd Dog,2
"Gladwin, MI 48624",Labrador Retriever,2
"Gladwin, MI 48624",Siberian Husky,2
"Grand Rapids, MI 49505",Mixed Breed,2
"Grand Rapids, MI 49548",German Shepherd Dog,2
"Grand Rapids, MI 49548",Labrador Retriever,2
"Grosse Pointe Park, MI 48230",Chihuahua,2
"Grosse Pointe Park, MI 48230",Terrier,2
"Harrison, MI 48625",Chihuahua,2
"Harrison, MI 48625",Standard Poodle,2
"Imlay City, MI 48444",Belgian Shepherd / Tervuren,2
"Kalamazoo, MI 49009",White German Shepherd,2
"Kentwood, MI 49548",Pit Bull Terrier,2
"Linden, MI 48451",Border Collie,2
"Livonia, MI 48152",American Bulldog,2
"Livonia, MI 48152",American Staffordshire Terrier,2
"Livonia, MI 48152",Pit Bull Terrier,2
"Livonia, MI 48152",Shepherd,2
"Livonia, MI 48152",Terrier,2
"Macomb, MI 48042",Black Labrador Retriever,2
"Macomb, MI 48042",Chocolate Labrador Retriever,2
"Macomb, MI 48042",German Shepherd Dog,2
"Mancelona, MI 49659",American Staffordshire Terrier,2
"Manistee, MI 49660",German Shepherd Dog,2
"Metamora, MI 48455",Catahoula Leopard Dog,2
"Metamora, MI 48455",Chocolate Labrador Retriever,2
"Metamora, MI 48455",Hound,2
"Milan, MI 48160",Rottweiler,2
"Muskegon, MI 49442",Pug,2
"Muskegon, MI 49442",Wheaten Terrier,2
"Oakland, MI 48363",Siberian Husky,2
"Oakland, MI 48363",Yorkshire Terrier,2
"Oxford, MI 48371",Beagle,2
"Oxford, MI 48371",Shepherd,2
"P.O. Box 190121 , Burton, MI 48519",American Bulldog,2
"P.O. Box 190121 , Burton, MI 48519",Pit Bull Terrier,2
"P.O. Box 190121 , Burton, MI 48519",Terrier,2
"P.O. Box 29 , Armada, MI 48005",Chihuahua,2
"P.O. Box 29 , Armada, MI 48005",Labrador Retriever,2
"P.O. Box 384 5786 Fairground Lane, Grayling, MI 49738",American Staffordshire Terrier,2
"P.O. Box 384 5786 Fairground Lane, Grayling, MI 49738",Terrier,2
"PO Box 180155 , Utica, MI 48318",Feist,2
"PO Box 180155 , Utica, MI 48318",Labrador Retriever,2
"PO Box 1953 , Traverse City, MI 49685",Pit Bull Terrier,2
"PO Box 285 , Frankenmuth, MI 48734",Pit Bull Terrier,2
"PO Box 3295 2938 Business One Drive, Kalamazoo, MI 49003",Pit Bull Terrier,2
"Plymouth, MI 48170",Pit Bull Terrier,2
"Reed City, MI 49677",German Shepherd Dog,2
"Saginaw, MI 48602",Labrador Retriever,2
"Saginaw, MI 48602",Mastiff,2
"Saginaw, MI 48602",Staffordshire Bull Terrier,2
"Saginaw, MI 48603",American Staffordshire Terrier,2
"Sanford, MI 48657",Boxer,2
"Sterling Heights, MI 48313",Pit Bull Terrier,2
"Traverse City, MI 49684",Pit Bull Terrier,2
"Traverse City, MI 49696",Boxer,2
"Troy, MI 48083",American Staffordshire Terrier,2
"Warren, MI 48089",Akita,2
"Warren, MI 48089",American Bulldog,2
"Warren, MI 48089",American Staffordshire Terrier,2
"Warren, MI 48089",Jack Russell Terrier,2
"Warren, MI 48089",Labrador Retriever,2
"Warren, MI 48091",Pomeranian,2
"West Bloomfield, MI 48325",Pit Bull Terrier,2
"West Bloomfield, MI 48325",Terrier,2
"White Lake, MI 48386",Boxer,2
"White Lake, MI 48386",German Shepherd Dog,2
"l536 Hackleburg Road , Cheboygan, MI 49721",Mixed Breed,2
"07591 Blue Star Hwy , South Haven, MI 49090",Chow Chow,1
