Address,Most Popular Breed,Number of Dogs
"Temperance, MI 48182",English Setter,1
"Traverse City, MI 49684",Carolina Dog,1
"Traverse City, MI 49696",American Staffordshire Terrier,1
"Traverse City, MI 49696",Border Collie,1
"Traverse City, MI 49696",Hound,1
"Traverse City, MI 49696",Labrador Retriever,1
"Traverse City, MI 49696",Pit Bull Terrier,1
"Traverse City, MI 49696",Staffordshire Bull Terrier,1
"Troy, MI 48083",Pit Bull Terrier,1
"Troy, MI 48083",Shepherd,1
"Troy, MI 48099",Labrador Retriever,1
"Troy, MI 48099",Mastiff,1
"Troy, MI 48099",Pit Bull Terrier,1
"Warren, MI 48089",Australian Shepherd,1
"Warren, MI 48089",Beagle,1
"Warren, MI 48089",Catahoula Leopard Dog,1
"Warren, MI 48089",Cattle Dog,1
"Warren, MI 48089",English Springer Spaniel,1
"Warren, MI 48089",Great Pyrenees,1
"Warren, MI 48089",Miniature Pinscher,1
"Warren, MI 48089",Pointer,1
"Warren, MI 48089",Pug,1
"Warren, MI 48089",Rat Terrier,1
"Warren, MI 48089",Rottweiler,1
"Warren, MI 48089",Shar-Pei,1
"Warren, MI 48091",Chihuahua,1
"Warren, MI 48091",Miniature Pinscher,1
"Warren, MI 48091",Mixed Breed,1
"West Bloomfield, MI 48325",American Staffordshire Terrier,1
"West Bloomfield, MI 48325",Mixed Breed,1
"Westland, MI 48185",American Bulldog,1
"Westland, MI 48185",Boxer,1
"Westland, MI 48185",Husky,1
"Westland, MI 48186",Siberian Husky,1
"White Lake, MI 48383",Siberian Husky,1
"White Lake, MI 48386",American Bulldog,1
"White Lake, MI 48386",Australian Kelpie,1
"White Lake, MI 48386",Black Mouth Cur,1
"White Lake, MI 48386",Catahoula Leopard Dog,1
"White Lake, MI 48386",Chihuahua,1
"White Lake, MI 48386",Pug,1
"White Lake, MI 48386",Terrier,1
"White Lake, MI 48386",Whippet,1
"Wyandotte, MI 48192",German Shepherd Dog,1
"Wyandotte, MI 48192",Shepherd,1
"Ypsilanti, MI 48197",Labrador Retriever,1
"fennville, MI 49408",American Bully,1
"fennville, MI 49408",American Staffordshire Terrier,1
"fennville, MI 49408",Australian Cattle Dog / Blue Heeler,1
"fennville, MI 49408",Black Labrador Retriever,1
"fennville, MI 49408",Chihuahua,1
"fennville, MI 49408",Coton de Tulear,1
"fennville, MI 49408",German Shepherd Dog,1
"fennville, MI 49408",Great Pyrenees,1
"fennville, MI 49408",Husky,1
"fennville, MI 49408",Labrador Retriever,1
"fennville, MI 49408",Mixed Breed,1
"fennville, MI 49408",Plott Hound,1
"fennville, MI 49408",Shepherd,1
"fennville, MI 49408",Vizsla,1
"fennville, MI 49408",Yellow Labrador Retriever,1
"l536 Hackleburg Road , Cheboygan, MI 49721",Black Labrador Retriever,1
"l536 Hackleburg Road , Cheboygan, MI 49721",Chocolate Labrador Retriever,1
"l536 Hackleburg Road , Cheboygan, MI 49721",Coonhound,1
"l536 Hackleburg Road , Cheboygan, MI 49721",Hound,1
"l536 Hackleburg Road , Cheboygan, MI 49721",Labrador Retriever,1
